id,contour_index,parent_contour_index,x,y,width,height,area,aspect_ratio,area_ratio,width_ratio,height_ratio,center_x,center_y,depth,children,siblings,edge_density,border_edge_density,horizontal_edge_density,vertical_edge_density,contour_density,dark_pixel_ratio,bright_pixel_ratio,interior_content_density,structural_type,structural_confidence
113,633,,10,309,17,17,289,1.0,0.000131,0.008859,0.014744,0.00964,0.275369,0,0,79,0.214533,0.069204,0.013841,0.0,0.00692,0.0,0.633218,0.461538,UNKNOWN,0.4
114,639,,13,271,17,17,289,1.0,0.000131,0.008859,0.014744,0.011204,0.242411,0,0,79,0.207612,0.062284,0.013841,0.0,0.00692,0.0,0.633218,0.461538,UNKNOWN,0.4
115,307,,160,1139,24,12,288,2.0,0.00013,0.012507,0.010408,0.08963,0.993062,0,0,79,0.375,0.090278,0.142361,0.090278,0.03125,0.163194,0.694444,0.39375,UNKNOWN,0.4
116,778,,58,177,24,12,288,2.0,0.00013,0.012507,0.010408,0.036477,0.158716,0,0,79,0.361111,0.104167,0.104167,0.045139,0.017361,0.131944,0.704861,0.40625,UNKNOWN,0.4
117,452,,10,909,19,15,285,1.266667,0.000129,0.009901,0.01301,0.010162,0.794883,0,0,79,0.175439,0.070175,0.042105,0.129825,0.003509,0.0,0.715789,0.2,UNKNOWN,0.4
118,1297,,824,40,18,15,270,1.2,0.000122,0.00938,0.01301,0.43408,0.041197,0,0,79,0.251852,0.085185,0.048148,0.07037,0.014815,0.0,0.67037,0.422078,UNKNOWN,0.4
119,1457,1454,385,30,18,15,270,1.2,0.000122,0.00938,0.01301,0.205315,0.032524,1,0,0,0.359259,0.211111,0.203704,0.133333,0.014815,0.051852,0.481481,0.38961,UNKNOWN,0.4
120,364,,15,992,16,16,256,1.0,0.000116,0.008338,0.013877,0.011985,0.867303,0,0,79,0.363281,0.171875,0.082031,0.125,0.007812,0.0,0.589844,0.444444,UNKNOWN,0.4
121,577,576,12,575,16,16,256,1.0,0.000116,0.008338,0.013877,0.010422,0.505637,2,0,0,0.234375,0.234375,0.097656,0.089844,0.007812,0.0,0.765625,0.0,UNKNOWN,0.4
122,583,580,12,537,16,16,256,1.0,0.000116,0.008338,0.013877,0.010422,0.47268,2,0,0,0.140625,0.0,0.070312,0.058594,0.011719,0.0,0.390625,0.305556,UNKNOWN,0.4
123,1092,,1647,131,16,16,256,1.0,0.000116,0.008338,0.013877,0.862428,0.120555,0,0,79,0.308594,0.125,0.109375,0.109375,0.015625,0.101562,0.785156,0.180556,UNKNOWN,0.4
124,1093,,1629,131,16,16,256,1.0,0.000116,0.008338,0.013877,0.853048,0.120555,0,0,79,0.3125,0.125,0.144531,0.109375,0.007812,0.097656,0.789062,0.173611,UNKNOWN,0.4
125,1188,1187,413,102,16,16,256,1.0,0.000116,0.008338,0.013877,0.219385,0.095403,3,0,0,0.257812,0.09375,0.054688,0.011719,0.007812,0.0,0.542969,0.548611,UNKNOWN,0.4
126,1507,,2,3,16,16,256,1.0,0.000116,0.008338,0.013877,0.005211,0.00954,0,0,79,0.238281,0.125,0.0,0.019531,0.023438,0.0,0.121094,0.895833,UNKNOWN,0.4
127,1148,1119,135,98,14,18,252,0.777778,0.000114,0.007295,0.015611,0.073997,0.092801,2,0,15,0.269841,0.111111,0.051587,0.119048,0.011905,0.0,0.436508,0.771429,UNKNOWN,0.4
128,1143,1119,99,99,12,18,216,0.666667,9.8e-05,0.006253,0.015611,0.054716,0.093669,2,0,15,0.319444,0.203704,0.078704,0.046296,0.009259,0.0,0.277778,0.75,UNKNOWN,0.4
129,1412,1405,620,32,12,18,216,0.666667,9.8e-05,0.006253,0.015611,0.326212,0.035559,2,0,0,0.375,0.194444,0.046296,0.194444,0.023148,0.0,0.523148,0.473214,UNKNOWN,0.4
130,357,,14,1029,15,14,210,1.071429,9.5e-05,0.007817,0.012142,0.011204,0.898526,0,0,79,0.204762,0.180952,0.061905,0.057143,0.004762,0.0,0.714286,0.054545,UNKNOWN,0.4
131,482,,205,895,15,14,210,1.071429,9.5e-05,0.007817,0.012142,0.110735,0.782307,0,0,79,0.361905,0.119048,0.052381,0.17619,0.02381,0.0,0.628571,0.472727,UNKNOWN,0.4
132,550,,12,773,15,14,210,1.071429,9.5e-05,0.007817,0.012142,0.010162,0.676496,0,0,79,0.390476,0.185714,0.114286,0.147619,0.028571,0.0,0.819048,0.0,UNKNOWN,0.4
133,733,730,1478,217,14,15,210,0.933333,9.5e-05,0.007295,0.01301,0.773841,0.194709,2,0,0,0.152381,0.147619,0.057143,0.061905,0.014286,0.0,0.771429,0.181818,UNKNOWN,0.4
134,737,734,1378,217,14,15,210,0.933333,9.5e-05,0.007295,0.01301,0.72173,0.194709,2,0,0,0.152381,0.147619,0.057143,0.061905,0.014286,0.0,0.771429,0.181818,UNKNOWN,0.4
135,742,739,1278,217,14,15,210,0.933333,9.5e-05,0.007295,0.01301,0.66962,0.194709,2,0,0,0.152381,0.147619,0.057143,0.061905,0.014286,0.0,0.771429,0.181818,UNKNOWN,0.4
136,1396,1394,954,32,15,14,210,1.071429,9.5e-05,0.007817,0.012142,0.501042,0.033825,1,0,0,0.328571,0.161905,0.028571,0.014286,0.004762,0.0,0.704762,0.309091,UNKNOWN,0.4
137,421,,314,921,16,13,208,1.230769,9.4e-05,0.008338,0.011275,0.167796,0.804423,0,0,79,0.298077,0.134615,0.0,0.100962,0.024038,0.0,0.610577,0.527778,UNKNOWN,0.4
138,1315,,261,38,13,16,208,0.8125,9.4e-05,0.006774,0.013877,0.139396,0.039896,0,0,79,0.139423,0.139423,0.057692,0.072115,0.009615,0.0,1.0,0.0,UNKNOWN,0.4
139,544,,14,775,14,14,196,1.0,8.9e-05,0.007295,0.012142,0.010943,0.678231,0,0,79,0.397959,0.183673,0.127551,0.127551,0.030612,0.0,0.872449,0.0,UNKNOWN,0.4
140,1160,1158,64,105,14,14,196,1.0,8.9e-05,0.007295,0.012142,0.036998,0.097138,3,0,0,0.382653,0.244898,0.19898,0.091837,0.010204,0.0,0.576531,0.29,UNKNOWN,0.4
141,1344,1338,704,35,16,12,192,1.333333,8.7e-05,0.008338,0.010408,0.371027,0.035559,2,0,0,0.135417,0.036458,0.052083,0.046875,0.005208,0.0,0.5,0.239583,UNKNOWN,0.4
142,504,502,13,873,13,14,182,0.928571,8.2e-05,0.006774,0.012142,0.010162,0.763226,2,0,0,0.362637,0.214286,0.291209,0.043956,0.021978,0.0,0.230769,0.7,UNKNOWN,0.4
143,371,370,13,949,13,13,169,1.0,7.6e-05,0.006774,0.011275,0.010162,0.828708,1,0,0,0.201183,0.201183,0.071006,0.118343,0.005917,0.0,0.721893,0.0,UNKNOWN,0.4
144,1176,1174,259,96,14,12,168,1.166667,7.6e-05,0.007295,0.010408,0.138614,0.088465,3,0,1,0.35119,0.202381,0.208333,0.10119,0.011905,0.0,0.571429,0.125,UNKNOWN,0.4
145,457,455,13,912,12,13,156,0.923077,7.1e-05,0.006253,0.011275,0.009901,0.796618,1,0,0,0.0,0.0,0.0,0.0,0.00641,0.0,1.0,0.0,UNKNOWN,0.4
146,538,,14,836,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.010422,0.730269,0,0,79,0.277778,0.159722,0.076389,0.104167,0.006944,0.0,0.777778,0.359375,UNKNOWN,0.4
147,545,,14,775,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.010422,0.677363,0,0,79,0.229167,0.069444,0.0,0.020833,0.034722,0.0,1.0,0.0,UNKNOWN,0.4
148,1139,1119,380,102,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.201146,0.093669,2,0,15,0.361111,0.173611,0.097222,0.041667,0.013889,0.0,0.597222,0.21875,UNKNOWN,0.4
149,1167,1119,461,96,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.243356,0.088465,2,0,15,0.25,0.194444,0.076389,0.152778,0.006944,0.0,0.784722,0.09375,UNKNOWN,0.4
150,1186,1119,463,94,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.244398,0.08673,2,0,15,0.333333,0.215278,0.131944,0.180556,0.006944,0.0,0.680556,0.25,UNKNOWN,0.4
151,1431,1414,543,30,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.286087,0.031223,1,0,0,0.354167,0.208333,0.090278,0.069444,0.013889,0.013889,0.3125,0.75,UNKNOWN,0.4
152,1503,,1843,4,12,12,144,1.0,6.5e-05,0.006253,0.010408,0.963523,0.008673,0,0,79,0.409722,0.243056,0.201389,0.201389,0.027778,0.236111,0.701389,0.21875,UNKNOWN,0.4
